address;postal_code;city;url
Baarsjesweg 224;1058AA;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-baarsjesweg-24-7-57ac865b09364149b32d4d4652818c01.html
Pr W Alexander Sportprk 2;5461XL;Veghel;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-veghel-prins-willem-alexander-sportpark-24-7-f6a2d4f0de354bf0a29eab5c6a4c8a42.html
Avantilaan 3;5482RE;Schijndel;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-schijndel-avantilaan-24-7-1a14e75486c04bd7b1bb5ab00bd7e46d.html
Koningin Wilhelminaplein 13;1062HH;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-wfc-1bd19ff0981849b19081bbf0f20e1ac2.html
Middelweg 401;8031VX;Zwolle;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zwolle-middelweg-f595d3df95d848cf9cd451f6a9cbb62e.html
Stadionplein 16;8025CP;Zwolle;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zwolle-stadionplein-24-7-3524159894794ddeab76a446e848cb1a.html
Molenvlietweg 18;1432GW;Aalsmeer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-aalsmeer-molenvlietweg-24-7-f76887e610f0489ab57de7b4ad39822a.html
Bos en Lommerplein 140;1055EK;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-bos-en-lommerplein-24-7-ed1318af90c14249b574bacb040dfcce.html
Grotenhuysweg 100;1446HZ;Purmerend;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-purmerend-grotenhuysweg-24-7-56e4fbb9f4e04f67a4dff9884c449cf7.html
President Allendelaan 3;1064GW;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-sloterparkbad-4af4eea37391486dbc665212494a7332.html
President Allendelaan 2-4;1064GW;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-sloterparkbad-ladies-fb634392b57244d59359f91e6801b77d.html
