address;postal_code;city;url;x;y
Middelweg 401;8031VX;Zwolle;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zwolle-middelweg-f595d3df95d848cf9cd451f6a9cbb62e.html;6.0875772;52.5321605
Stadionplein 16;8025CP;Zwolle;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zwolle-stadionplein-24-7-3524159894794ddeab76a446e848cb1a.html;6.122031;52.5165044
Molenvlietweg 18;1432GW;Aalsmeer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-aalsmeer-molenvlietweg-24-7-f76887e610f0489ab57de7b4ad39822a.html;4.7779031;52.2661496
Bos en Lommerplein 140;1055EK;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-bos-en-lommerplein-24-7-ed1318af90c14249b574bacb040dfcce.html;4.8464517;52.3789731
Grotenhuysweg 100;1446HZ;Purmerend;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-purmerend-grotenhuysweg-24-7-56e4fbb9f4e04f67a4dff9884c449cf7.html;4.9947591;52.5118679
President Allendelaan 3;1064GW;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-sloterparkbad-4af4eea37391486dbc665212494a7332.html;4.8171202;52.3700186
President Allendelaan 2-4;1064GW;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-sloterparkbad-ladies-fb634392b57244d59359f91e6801b77d.html;4.8174386;52.3721947
Rembrandt van Rijnstraat 28b;5831BB;Boxmeer;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-boxmeer-rembrandt-van-rijnstraat-1e070e3e7bdf4a2aab0e5a9d91db685f.html;5.9389107;51.6489828
Wim Kan Dreef 5;1433HM;Kudelstaart;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-kudelstaart-wim-kan-dreef-24-7-17c1b3de4ad54fcbae1a4e86417cd67e.html;4.732578;52.2287654
Pieter Calandlaan 1287;1069RE;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-amsterdam-osdorp-pieter-calandlaan-df98548fc67a467693040c82026683c3.html;4.7952037;52.3508567
Sloterweg 301;1171VB;Badhoevedorp;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-badhoevedorp-sloterweg-24-7-029183a22335485e87432da0a6afd423.html;4.7715383;52.3337568
Zuidermolenweg 32;1069CG;Amsterdam;https://www.basic-fit.com/nl-nl/sportschool/bf-amsterdam-zuidermolenweg-f16a3f94e58544c3a8ba3e2ac290344d.html;4.7830594;52.3601212
Willem Eggertstraat 145;1441CH;Purmerend;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-purmerend-willem-eggertstraat-24-7-db853d7ade7d41f48910366839e515ba.html;4.947906;52.5083697
Eerste Zeine 120a;5144AM;Waalwijk;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-waalwijk-eerste-zeine-24-7-5e26400edf0a4458b8a492c962de8788.html;5.0728782;51.6843515
Dominee Martin Luther Kingweg 205;1504DG;Zaandam;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-zaandam-martin-luther-kingweg-623374b6c19e4e889245993b456d1729.html;4.8424858;52.4375905
Pottersplein 3-7;2801WR;Gouda;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-gouda-pottersplein-34964b7b569944a7ab9a11b542f8ba90.html;4.7040176;52.0115534
Bremhorst 4;5491LR;Sint Oedenrode;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-sint-oedenrode-bremhorst-24-7-152e40be8dc243789c3d1f165b1b5448.html;5.4523525;51.5790764
Sportlaan 2;2406LD;Alphen Aan Den Rijn;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-alphen-aan-den-rijn-sportlaan-24-7-a28fcd6df35b40eb9800f95eb2bdca8e.html;4.5394202;52.074706
Arnolduspark 16;2132CR;Hoofddorp;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-hoofddorp-arnolduspark-37f9e564a143453180b49c16f26dbcbd.html;4.7067237;52.3090449
J.C. Beetslaan 161;2131AL;Hoofddorp;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-hoofddorp-j.c.-beetslaan-24-7-cffd8b25c79e454daa8a8dd9bf948120.html;4.6883399;52.3144142
Piet Heinweg 14;7441GZ;Nijverdal;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nijverdal-piet-heinweg-24-7-8c037aef148d48cfa44075702e8a37e5.html;6.4504306;52.3675822
Hoofdweg 871;2131MB;Hoofddorp;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-hoofddorp-toolenburg-24-7-76d9cca3d5e14c98afb8e28360172662.html;4.6666098;52.2896323
Lucas Bolsstraat 42;2152CZ;Nieuw-Vennep;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-nieuw-vennep-lucas-bolsstraat-24-7-04f47fc139da4b82bfdcfd73d29215f6.html;4.6272293;52.2730542
Bernadottelaan 199;2037GP;Haarlem;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-haarlem-bernadottelaan-056213a7020b4f0692bf14f9117630d3.html;4.6647797;52.3553996
Rode Ring 43;1566HR;Assendelft;https://www.basic-fit.com/nl-nl/sportschool/basic-fit-assendelft-rode-ring-24-7-c445eb8003414c92906f38ccd1b6b422.html;4.7636336;52.486526
